Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant, chef d’entreprise;Fonctionnaire;statut_cdi;statut_conspe;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d'etat, territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Un particulier;Agriculture, sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Personnel de catégorie A de la fonction publique;Ingénieur, cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service;Taux d’insertion;% emplois extérieurs à la région de l’université
2016;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;31;88;0;37;100;1500;23400;ns;ns;ns;;8.5;1830;;1450;2180;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;ns
2016;DUT;18 mois après le diplôme;hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;30;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;;1450;2180;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;ns
2016;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;261;72;11;73;94;1560;24300;1380;1720;45;4;8.5;1830;;1450;2180;_18;2;3;69;;14;0;8;1;3;0;0;;;;;;;;;;;;;;;;;;;;;1;10;4;56;2;7;19;87;29
2015;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;179;85;13;83;98;1500;23400;1350;1730;37;7;8.6;1865;;1475;2280;_18;2;7;74;;13;0;2;0;1;0;0;;;;;;;;;;;;;;;;;;;;;1;12;4;66;2;3;11;89;27
2015;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;124;83;16;86;96;1520;23700;1400;1730;39;7;8.6;1865;;1475;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;26
2015;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2015;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;10;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2016;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;;1450;2180;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2016;DUT;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;31;ns;ns;68;ns;ns;ns;ns;ns;55;;8.5;1830;;1450;2180;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;ns
2015;DUT;18 mois après le diplôme;femmes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;86;20;6;36;74;1300;20300;ns;ns;34;;8.6;1865;;1475;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;39
