Année d’obtention;Diplôme;Situation;Remarque;Discipline principale agrégée de l’école doctorale;Part de femmes diplômées;Age moyen à la soutenance;Part_docteurs étrangers;Nombre de répondant;Taux de réponse;Part de docteurs déclarant avoir été financés pour réaliser leur thèse;Taux d'insertion;Taux d’emploi stable;Taux d’emploi cadre;Taux d’emploi à temps plein;Répartition des docteurs en emploi dans le secteur académique;Répartition des docteurs en emploi dans le public hors secteur académique;Répartition des docteurs en emploi dans la R&D privée;Répartition des docteurs en emploi dans le privé hors secteur académique et R&D;Taux d’emploi à l’étranger;Taux d’emploi des docteurs dans la même région;1er quartile du salaire net mensuel des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;3ème quartile du salaire net mensuel des emplois à temps plein;Salaire brut annuel moyen estimé;Lib_Etablissement;NUMERO_UAI;Lib_Etablissement_Courant;NUMERO_UAI_Courant
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;61;38;31;21;58;47;95;87;100;90;29;71;0;0;14;49;2211;2380;2593;33600;CAEN;0141408E;CAEN;0141408E
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;45;29;43;28;70;86;89;61;93;94;30;10;49;12;23;22;2063;2517;3313;37800;LA ROCHELLE;0171463Y;LA ROCHELLE;0171463Y
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;33;32;29;27;82;61;79;59;90;95;52;29;9;10;23;58;1952;2281;4011;32208;BESANCON;0251215K;BESANCON;0251215K
2014;DOCTORAT;36 mois après le diplôme;;Sciences et leurs interactions;43;30;40;80;77;86;82;48;89;94;54;18;17;11;39;34;1768;2196;2468;31000;BREST;0290346U;BREST;0290346U
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;33;30;80;17;42;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ENS TELECOMM.BREST (fermé);0291811L;IMT ATLANTIQUE BREST;0292355C
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;43;29;29;11;78;100;100;53;100;100;31;13;39;17;40;45;2095;2600;2625;41600;INSA TOULOUSE;0310152X;INSA TOULOUSE;0310152X
2014;DOCTORAT;36 mois après le diplôme;;Sciences et leurs interactions;35;30;44;143;56;90;92;71;94;96;38;16;21;24;31;36;2219;2434;2774;37080;TOULOUSE 3;0311384L;TOULOUSE 3;0311384L
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;55;30;20;51;55;86;78;40;94;97;66;9;15;10;41;41;1911;2466;3600;39456;TOULOUSE 3;0311384L;TOULOUSE 3;0311384L
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;53;38;33;42;51;35;91;72;95;86;34;49;2;14;22;40;1800;2250;2571;34848;BORDEAUX 3;0331766R;BORDEAUX 3;0331766R
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;69;31;24;25;56;81;88;60;94;100;64;11;4;21;55;28;1983;2057;2196;29040;MONTPELLIER 1 (fermé);0341087X;U MONTPELLIER;0342321N
