Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;85;74;32;90;52;77;99;1760;27500;21;11.4;1840;20;21;51.00;1430;2210;Nice - Sophia-Antipolis_18;disc04_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;8;77;3;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc06_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;105;84;36;86;89;64;98;1600;25000;21;11.4;1840;22;41;25.00;1430;2210;Nice - Sophia-Antipolis_18;disc12_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;24;77;9;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc15_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;49;87;17;90;76;73;89;1780;27800;21;11.4;1840;34;38;8.00;1430;2210;Nice - Sophia-Antipolis_30;disc16_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;9;100;3;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc17_30;7CYWd
2013;LICENCE PRO;0134009M;Aix-Marseille;A02;Aix-Marseille;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;2;86;0;ns;ns;ns;ns;ns;ns;19;11.4;1840;ns;ns;;1430;2210;Aix-Marseille_30;disc09_30;xJdyB
2013;LICENCE PRO;0134009M;Aix-Marseille;A02;Aix-Marseille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;259;76;49;92;80;64;94;1580;24700;19;11.4;1840;10;26;24.00;1430;2210;Aix-Marseille_18;disc12_18;xJdyB
2013;LICENCE PRO;0134009M;Aix-Marseille;A02;Aix-Marseille;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;40;78;8;81;65;67;97;ns;ns;19;11.4;1840;10;34;68.00;1430;2210;Aix-Marseille_18;disc14_18;xJdyB
2013;LICENCE PRO;0141408E;Caen Normandie;A05;Caen;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;4;67;1;ns;ns;ns;ns;ns;ns;40;10.2;1770;ns;ns;;1440;2090;Caen Normandie_30;disc02_30;p25Q3
